date,open,high,low,close
16/07/10,2.984,3.008,2.918,2.939
19/07/10,2.95,2.966,2.93,2.964
20/07/10,2.918,2.954,2.896,2.932
21/07/10,2.957,2.966,2.891,2.892
22/07/10,2.914,2.948,2.903,2.932
23/07/10,2.974,3,2.931,2.994
26/07/10,2.989,3.034,2.983,2.994
27/07/10,3.041,3.054,3.021,3.047
28/07/10,3.036,3.061,2.996,3.001
29/07/10,2.997,3.034,2.963,2.999
30/07/10,2.957,2.957,2.903,2.907
02/08/10,2.934,2.964,2.934,2.963
03/08/10,2.91,2.939,2.894,2.914
04/08/10,2.898,2.955,2.887,2.952
05/08/10,2.951,2.955,2.896,2.915
06/08/10,2.911,2.92,2.817,2.824
09/08/10,2.815,2.84,2.815,2.822
10/08/10,2.811,2.839,2.745,2.781
11/08/10,2.729,2.734,2.683,2.685
12/08/10,2.729,2.754,2.691,2.735
13/08/10,2.713,2.727,2.686,2.688
16/08/10,2.62,2.627,2.572,2.575
17/08/10,2.6,2.659,2.598,2.645
18/08/10,2.604,2.643,2.58,2.641
19/08/10,2.666,2.668,2.557,2.579
20/08/10,2.552,2.621,2.547,2.612
23/08/10,2.629,2.637,2.602,2.607
24/08/10,2.525,2.546,2.469,2.499
25/08/10,2.46,2.543,2.419,2.538
26/08/10,2.506,2.554,2.497,2.499
27/08/10,2.502,2.664,2.491,2.652
30/08/10,2.596,2.605,2.532,2.545
31/08/10,2.504,2.513,2.468,2.477
01/09/10,2.491,2.627,2.491,2.582
02/09/10,2.591,2.639,2.586,2.628
03/09/10,2.652,2.768,2.65,2.706
07/09/10,2.65,2.654,2.609,2.609
08/09/10,2.634,2.681,2.625,2.654
09/09/10,2.679,2.762,2.677,2.761
10/09/10,2.779,2.823,2.777,2.795
13/09/10,2.827,2.827,2.741,2.741
14/09/10,2.726,2.752,2.665,2.666
15/09/10,2.723,2.732,2.661,2.723
16/09/10,2.701,2.794,2.692,2.759
17/09/10,2.724,2.759,2.695,2.746
20/09/10,2.732,2.752,2.703,2.706
21/09/10,2.679,2.71,2.587,2.594
22/09/10,2.537,2.567,2.505,2.548
23/09/10,2.531,2.569,2.482,2.555
24/09/10,2.569,2.616,2.565,2.612
27/09/10,2.551,2.567,2.51,2.517
28/09/10,2.54,2.542,2.449,2.456
29/09/10,2.481,2.512,2.453,2.506
30/09/10,2.476,2.601,2.471,2.517
01/10/10,2.546,2.574,2.504,2.526
04/10/10,2.488,2.508,2.474,2.479
05/10/10,2.463,2.495,2.454,2.474
06/10/10,2.405,2.406,2.359,2.399
07/10/10,2.41,2.417,2.373,2.396
08/10/10,2.413,2.431,2.334,2.381
11/10/10,null,null,null,null
12/10/10,2.355,2.422,2.353,2.422
13/10/10,2.456,2.49,2.426,2.431
14/10/10,2.443,2.509,2.422,2.495
15/10/10,2.47,2.594,2.454,2.576
18/10/10,2.531,2.534,2.488,2.491
19/10/10,2.534,2.561,2.457,2.475
20/10/10,2.486,2.518,2.454,2.47
21/10/10,2.484,2.543,2.484,2.531
22/10/10,2.569,2.587,2.547,2.563
25/10/10,2.531,2.567,2.497,2.554
26/10/10,2.596,2.647,2.596,2.636
27/10/10,2.705,2.72,2.667,2.712
28/10/10,2.681,2.712,2.643,2.661
29/10/10,2.65,2.663,2.61,2.612
01/11/10,2.588,2.641,2.559,2.628
02/11/10,2.607,2.616,2.587,2.594
03/11/10,2.627,2.654,2.527,2.619
